"HealthDistrict","establishmentName","permitName","permitNumber","program","PermitType","status","RiskCategory","catering","commissary","smokingStatus","wasteWaterGrease","inspectionFrequency","ApplicationDate","OriginalIssueDate","PermitIssueDate","ExpirationDate","FacilityAddress","city","zip","FIPSCode","LocalityName"
"EHD - Richmond","Secco Wine Bar","Secco Wine Bar","#REF!","Food Establishment","Full Service Restaurant","Business Closed","2","NO","NO","Smoke Free","Grease Trap (interior)","6","8/19/2016","9/23/2016","9/14/2021","9/30/2022","325  North Robinson Street","Richmond","23220","NULL","NULL"
"EHD - Peninsula","Juan's Taqueria and Cantina","Juan's Taqueria and Cantina","#REF!","Food Establishment","","Permitted","3","NO","NO","Smoke Free","Grease Trap (interior)","4","10/18/2022","12/27/2022","12/27/2022","12/31/2023","1220 Richmond Road Unit D","Williamsburg","23185","NULL","NULL"
"EHD - Alleghany-Roanoke","4730 Cove Road NW","Adult Care Center of Roanoke Valley","KHAN-7G7LXD","Food Establishment","Adult Day Care Food Service","Surrendered","2","","NULL","Non-Smoking","","NULL","6/27/2008","7/18/2008","7/18/2008","7/17/2009","4730 Cove Road NW","Roanoke","24017","NULL","NULL"
"EHD - Rappahannock","Gizmo’s","Gizmo's","JWES-64GNPJ","Food Establishment","Restaurant","Surrendered","2","","NULL","","","NULL","9/3/2004","9/3/2004","9/3/2004","9/30/2005","Virginia Bazaar","","22546","NULL","NULL"
"EHD - Richmond","Blessings","Blessings","HMES-84VLJV","Food Establishment","Mobile Food Unit","Surrendered","3","","NULL","Smoke Free","None","NULL","4/26/2010","NULL","NULL","NULL","701 East Belt Blvd","Richmond","23224","NULL","NULL"
"EHD - Richmond","TNT Blessings","TNT Blessings","HMES-8X6RR6","Food Establishment","Mobile Food Unit","Surrendered","4","","NULL","Smoke Free","Other","3","8/14/2012","8/17/2012","8/17/2012","9/30/2013","701 East Belt Blvd","Richmond","23224","NULL","NULL"
"EHD - Mount Rogers","138-CLOSED-Fee-Food-JJ’s Place-closed","JJ's Place","MFEL-6XRQL7","Food Establishment","Fast Food Restaurant","Surrendered","1","","NULL","Smoke Free","","NULL","1/24/2007","1/29/2007","1/1/2008","12/31/2008","E. Main Street","Independence","24326","NULL","NULL"
"EHD - Rappahannock","Hartwood Market & Cafe","Hartwood Market & Cafe","FWHY-96WGS7","Food Establishment","Carry Out Food Service Only","Surrendered","1","","NULL","Smoke Free","","NULL","4/3/2013","NULL","NULL","NULL","1555 Warrenton Road","Fredericksburg","22406","NULL","NULL"
"EHD - Prince William","BBQ Brothers/The Grill Gourmet","BBQ Brothers/The Grill Gourmet","AJOS-9J3HUS","Food Establishment","Mobile Food Unit","Surrendered","1","","NULL","Smoke Free","Grease Trap (Interior)","NULL","4/11/2014","NULL","NULL","NULL","17397 Wilson St","Dumfries","22026","NULL","NULL"
"EHD - Prince William","BBQ Brothers/The Grill Gourmet","BBQ Brothers LLC/The Grill Gourmet","AJOS-6FCGNU","Food Establishment","Mobile Food Unit","Surrendered","3","","NULL","Smoke Free","None","NULL","8/11/2005","2/27/2008","3/17/2011","2/28/2012","17397 Wilson St","Dumfries","22026","NULL","NULL"
"EHD - Prince William","Snowball And Ice Cream","Snowball And Ice Cream","JSUZ-55EQBQ","Food Establishment","Mobile Food Unit","Surrendered","3","","NULL","","","NULL","9/18/2002","NULL","NULL","NULL","1602 Woodside Dr","Woodbridge","22191","NULL","NULL"
"EHD - Richmond","Smoothie King","Smoothie King","AGML-7U2M92","Food Establishment","Fast Food Restaurant","Surrendered","2","","NULL","Smoke Free","Grease Trap (Interior)","6","7/17/2009","9/11/2009","10/1/2016","9/30/2017","1211 West Broad Street","Richmond","23220","NULL","NULL"
"EHD - Richmond","Sweet Turtle","Sweet Turtle","AGML-AM7FJY","Food Establishment","Fast Food Restaurant","Surrendered","","","NULL","Smoke Free","Grease Trap (Interior)","NULL","5/8/2017","NULL","NULL","3/31/2018","1211 West Broad Street","Richmond","23220","NULL","NULL"
"EHD - Richmond","VCU - Bleecker Street Cafe","VCU - Bleecker Street Cafe","#REF!","Food Establishment","State College Food Service","Permitted","2","NO","NO","Smoke Free","Grease Trap (Exterior)","6","6/8/2007","8/6/2007","1/31/2022","12/31/2022","301 West Main Street","Richmond","23220","NULL","NULL"
"EHD - Arlington","Primo Cappuccino-Main Terminal ""A"" (I)","Primo Cappuccino-Main Terminal ""A""(Inactive)","JCOE-5CC9NV","Food Establishment","Fast Food","Surrendered","2","","NULL","Non-Smoking","","NULL","1/1/2002","1/1/2002","1/1/2002","12/31/2002","WNA-Main Terminal A","Washington","20001","NULL","NULL"
"EHD - Richmond","Crave Frozen Yogurt","Crave Frozen Yogurt","HMES-97VQYQ","Food Establishment","Other Food Service","Surrendered","2","","NULL","Smoke Free","Grease Trap (Exterior)","NULL","5/20/2013","6/14/2013","6/14/2013","6/30/2014","1311 West Broad Street","Richmond","23220","NULL","NULL"
"EHD - Rappahannock","Cafe Margo","Cafe Margo","DCOO-74KPJV","Food Establishment","Carry Out Food Service Only","Surrendered","1","","NULL","","","NULL","6/27/2007","NULL","NULL","NULL","109 Amelia Street","Fredericksburg","22401","NULL","NULL"
"EHD - Mount Rogers","Chilhowie Pizza Factory","Chilhowie Pizza Factory","GCRE-67JRHT","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","","","NULL","12/9/2004","9/24/2003","1/1/2007","2/16/2007","1163 East Lee Highway","Chilhowie","24319","NULL","NULL"
"EHD - Richmond","Chicano’s Cocina Bar & Grill","Chicano's Cocina Bar & Grill","#REF!","Food Establishment","Full Service Restaurant","Permitted","3","NO","NO","Smoke Free","Grease Trap (Interior)","4","6/1/2017","2/7/2018","12/2/2022","12/31/2023","523 East Main Street","Richmond","23219","NULL","NULL"
"EHD - Prince William","Dippin Dots","Dippin Dots","AJOS-7U9KHG","Food Establishment","Fast Food Restaurant","Surrendered","2","","NULL","Smoke Free","Grease Trap (Exterior)","NULL","7/24/2009","11/10/2009","11/13/2009","11/10/2010","2700 Potomac Mills Cir #110-K Kiosk","Woodbridge","22192","NULL","NULL"
"EHD - Peninsula","Just Us Kidz Child Development Center","Just Us Kidz Child Development Center","DTRT-757HF7","Food Establishment","Child Care Food Service","Surrendered","3","","NULL","Non-Smoking","","NULL","7/17/2007","NULL","NULL","NULL","208 Hampton Hwy.","Yorktown","23693","NULL","NULL"
"EHD - Fairfax","Hoang Vy Bakery","Hoang Vy Bakery","DSHR-82TRRK","Food Establishment","Carry Out Food Service Only","Surrendered","3","","NULL","Smoke Free","","4","2/19/2010","2/24/2010","2/24/2010","12/31/2010","6795 Wilson Blvd, #38-40","Falls Church","22044","NULL","NULL"
"EHD - Mount Rogers","117-CLOSED-Fee-Food-COUNTRYSIDE RESTAURANT","COUNTRYSIDE RESTAURANT","CEDS-62AKW2","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Smoke Free","","3","6/23/2004","8/4/2004","1/1/2012","12/31/2014","94 Farmers Market Rd","Hillsville","24343","NULL","NULL"
"EHD - Peninsula","York County Social Services Inspection","Bathel Baptist YMCA","DBLE-9PPGCA","Food Establishment","Other Food Service","Inspect on Request","1","","NULL","Smoke Free","","12","10/7/2014","NULL","NULL","NULL","Yorktown","Yorktown","23690","NULL","NULL"
"EHD - Peninsula","York County Social Services Inspection","Victory Family YMCA","DBLE-9LURAA","Food Establishment","Other Food Service","Inspect on Request","1","","NULL","Smoke Free","","12","7/9/2014","NULL","NULL","NULL","Yorktown","Yorktown","23690","NULL","NULL"
"EHD - Peninsula","York County Social Services Inspection","Bethel Baptist","DBLE-9NVR9S","Food Establishment","Other Food Service","Inspect on Request","1","","NULL","Smoke Free","","12","9/12/2014","NULL","NULL","NULL","Yorktown","Yorktown","23690","NULL","NULL"
"EHD - Prince William","Taqueria Esperanza #1","Taqueria Esperanza #1","AJOS-8WDKX3","Food Establishment","Mobile Food Unit","Permitted","2","NO","NO","Smoke Free","Other","6","7/20/2012","8/22/2012","9/1/2018","8/31/2019","8281 Centreville Rd.","Manassas","20111","NULL","NULL"
"EHD - Richmond","Tarrant’s Cafe","Tarrant's Cafe Mobile","AGML-8W4MMK","Food Establishment","Mobile Food Unit","Surrendered","2","","NULL","Exempt","None","NULL","7/11/2012","8/14/2012","10/1/2013","9/30/2014","1 West Broad Street","Richmond","23220","NULL","NULL"
"EHD - Richmond","Tarrant’s Cafe","Tarrant's Cafe","#REF!","Food Establishment","Full Service Restaurant","Permitted","3","NO","NO","Smoke Free","Grease Trap (Exterior)","4","9/15/2006","10/1/2006","6/27/2022","6/30/2023","1 West Broad Street","Richmond","23220","NULL","NULL"
"EHD - Richmond","Capitol City Kingdom Learning Center","Capitol City Kingdom Learning Center","HMES-AHYSTA","Food Establishment","Child Care Food Service","Surrendered","4","","NULL","Smoke Free","Grease Trap (Interior)","3","1/25/2017","4/21/2017","4/21/2017","3/31/2018","3810 Moss Side Avenue","Richmond","23222","NULL","NULL"
"EHD - Richmond","Eurest Dining Services","Eurest Dining Services","SYOG-58G2HY","Food Establishment","Full Service Restaurant","Surrendered","2","","NULL","Non-Smoking","","NULL","1/1/2002","1/1/2002","7/7/2007","6/30/2008","1501 North Hamilton Street","Richmond","23260","NULL","NULL"
"EHD - Richmond","J and K’s Mobile Munchies","J and K's Mobile Munchies","SYOG-58G2F4","Food Establishment","Mobile Food Unit","Business Closed","2","NO","NO","Exempt","None","6","1/1/2002","1/1/2002","4/1/2019","3/31/2021","2631 West Cary Street","Richmond","23220","NULL","NULL"
"EHD - Richmond","Cary Street Cafe","Cary St. Cafe","SYOG-58FVVL","Food Establishment","Full Service Restaurant","Business Closed","3","NO","NO","Smoke Free","Grease Trap (Exterior)","4","1/1/2002","1/1/2002","4/24/2020","3/31/2021","2631 West Cary Street","Richmond","23220","NULL","NULL"
"EHD - Richmond","Shakedown Eats","Shakedown Eats","#REF!","Food Establishment","Mobile Food Unit","Business Closed","3","NO","NO","Exempt","Grease Trap (interior)","4","7/18/2018","7/30/2018","9/30/2020","9/30/2021","2631 West Cary Street","Richmond","23220","NULL","NULL"
"EHD - Prince William","Ann Ludwig Elementary","Ann Ludwig Elementary","AVEA-5RGK9T","Food Establishment","Public school kitchen","Surrendered","1","","NULL","","","NULL","9/17/2003","NULL","NULL","NULL","2221 Optiz Blvd","Woodbridge","22191","NULL","NULL"
"EHD - Alleghany-Roanoke","1327 Grandin Road SW","JaMar Desserts","KHAN-633M9H","Food Establishment","Restaurant","Business Closed","2","NO","NO","Smoke Free","None","","7/20/2004","8/20/2004","8/20/2004","8/19/2005","1327 Grandin Road SW","Roanoke","24015","NULL","NULL"
"EHD - Alleghany-Roanoke","1327 Grandin Road SW","CODA","KHAN-6LLSVM","Food Establishment","Full Service Restaurant","Business Closed","2","NO","NO","Smoke Free","None","","2/1/2006","2/23/2006","2/23/2007","2/22/2008","1327 Grandin Road SW","Roanoke","24015","NULL","NULL"
"EHD - Prince William","Joe’s Place","Joe's Place","JKOE-54WS7H","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Non-Smoking","Grease Trap (Exterior)","NULL","1/3/2002","8/28/1998","7/31/2006","8/28/2007","13710 Jefferson Davis Hwy","Woodbridge","22191","NULL","NULL"
"EHD - Prince William","Joe’s Place","Joe's Place","AJOS-78APPF","Food Establishment","Fast Food Restaurant","Surrendered","3","","NULL","Smoke Free","Grease Trap (Exterior)","4","10/24/2007","1/14/2008","1/28/2014","1/31/2015","13710 Jefferson Davis Hwy","Woodbridge","22191","NULL","NULL"
"EHD - Richmond","La Bamba Mexican Restaurant","La Bamba Mexican Restaurant","#REF!","Food Establishment","Full Service Restaurant","Permitted","3","NO","NO","Smoke Free","Grease Trap (Interior)","4","5/13/2005","6/3/2005","6/29/2022","6/30/2023","19 North 18th Street","Richmond","23221","NULL","NULL"
"EHD - New River","Joel’s Catering","Joel's Catering","MFLR-A33QR5","Food Establishment","Fast Food Restaurant/Caterer","Denied","","","NULL","Smoke Free","","NULL","10/7/2015","NULL","NULL","NULL","222 Allen Avenue H-91","Radford","24141","NULL","NULL"
"EHD - Richmond","Myo’ s River City Cafe","Myo' s River City Cafe","HMES-6T5JF9","Food Establishment","Full Service Restaurant","Surrendered","3","","NULL","","","NULL","4/24/2006","8/29/2006","8/29/2006","8/31/2007","315 Cowardin Ave","Richmond","23224","NULL","NULL"
"EHD - Richmond","Postbellum","Postbellum","#REF!","Food Establishment","Full Service Restaurant","Withdrawn","3","NO","NO","Outdoor smoking area","Grease Trap (Interior)","4","6/17/2013","9/23/2013","10/1/2015","9/30/2016","1323 West Main Street","Richmomd","23220","NULL","NULL"
"EHD - Mount Rogers","198-CLOSED-Fee-Food-Children’s Garden","Children's Garden","LCUP-5LPLT2","Food Establishment","Child Care Food Service","Surrendered","4","","NULL","Smoke Free","","3","4/14/2003","4/14/2003","2/23/2012","12/31/2012","6861 West Lee Hwy.","Rural Retreat","24368","NULL","NULL"
"EHD - Mount Rogers","195-Fee-Food-BaJa Cafe, Inc,(CLOSED)","BaJa Cafe, Inc.","DSIS-5AUQTR","Food Establishment","Full Service Restaurant","Surrendered","2","","NULL","Restricted","","NULL","5/9/2001","1/1/2002","1/1/2008","12/31/2008","103 S Shady Avenue","Damascus","24236","NULL","NULL"
"EHD - Western Tidewater","The Children’s Center","The Children's Center","SWBY-692KEM","Food Establishment","Child care","Surrendered","3","","NULL","Non-Smoking","","NULL","1/26/2005","1/31/2005","1/31/2005","3/31/2006","507 Third Ave.","Franklin","23851","NULL","NULL"
"EHD - Rappahannock","New Life Ranch","New Life Ranch","JDAS-6EBLK9","Food Establishment","Adult Home","Surrendered","3","","NULL","","","NULL","7/15/2005","NULL","NULL","NULL","1500 Log Cabin Road","Beaverdam","23015","NULL","NULL"
"EHD - Mount Rogers","198-CLOSED-Fee-Food-Pizza Shoppe Drive Thru","198-Fee-Food-Pizza Shoppe Drive Thru-CLOSED","SBRS-7SQQMS","Food Establishment","Full Service Restaurant","Surrendered","3","","NULL","Smoke Free","Grease Trap (Interior)","NULL","6/4/2009","6/8/2009","6/8/2010","12/31/2010","791 E. Main St.","Wytheville","24382","NULL","NULL"
"EHD - Rappahannock","Hamid’s Coffee","Hamid's Coffee","DCOO-98BJF4","Food Establishment","Mobile Food Unit","Surrendered","1","","NULL","Smoke Free","","NULL","5/31/2013","NULL","NULL","NULL","4 Beavers Court","Stafford","22556","NULL","NULL"
"EHD - Richmond","3 Stars Cafe","3 Stars Cafe","HMES-9P7SEA","Food Establishment","Fast Food Restaurant","Surrendered","2","","NULL","Smoke Free","Grease Trap (Exterior)","6","9/22/2014","10/1/2014","1/1/2017","12/31/2017","1401 East Broad Street","Richmond","23219","NULL","NULL"
"EHD - Richmond","VDOT Cafeteria -#49","VDOT Cafeteria","SYOG-58FW4L","Food Establishment","Full Service Restaurant","Surrendered","3","","NULL","Smoke Free","Grease Trap (Exterior)","NULL","1/1/2002","1/1/2002","10/1/2010","9/30/2011","1401 East Broad Street","Richmond","23219","NULL","NULL"
"EHD - Richmond","Snapcheez","Snapcheez","HMES-AANJ3M","Food Establishment","Mobile Food Unit","Withdrawn","2","","NULL","Outdoor smoking area","","NULL","6/3/2016","NULL","NULL","6/30/2017","207 West Brookland Pwy","Richmond","23222","NULL","NULL"
"EHD - Prince William","Koko Rico Restaurant # 2","Koko Rico Restaurant # 2","AJOS-8EXJ9E","Food Establishment","Fast Food Restaurant","Pending","1","NO","NO","Smoke Free","Other","12","6/30/2010","NULL","NULL","NULL","7203 Centreville Rd","Manassas","20111","NULL","NULL"
"EHD - Prince William","Koko Rico Restaurant # 2","Koko Rico Restaurant","AJOS-785H5X","Food Establishment","Carry Out Food Service Only","Surrendered","4","","NULL","Non-Smoking","","NULL","10/18/2007","NULL","NULL","NULL","7203 Centreville Rd","Manassas","20111","NULL","NULL"
"EHD - Fairfax","Applebee’s Neighborhood Grill & Bar #79079","Applebee's Neighborhood Grill & Bar #79079","DMIS-8SZKV5","Food Establishment","Full Service Restaurant","Permitted","2","","NULL","Smoke Free","Grease Trap (Interior)","6","3/14/2012","4/4/2012","4/4/2012","12/31/2019","127 E Broad St","Falls Church","22046","NULL","NULL"
"EHD - Fairfax","Applebee’s Neighborhood Grill & Bar #79079","Applebee's Neighborhood Grill & Bar","DSHR-7C8M86","Food Establishment","Full Service Restaurant","Surrendered","3","","NULL","Smoke Free","","4","10/25/2002","11/7/2002","1/1/2003","12/31/2011","127 E Broad St","Falls Church","22046","NULL","NULL"
"EHD - Fairfax","Applebee’s Neighborhood Grill & Bar #79079","Applebees","MVVE-5CDSQE","Food Establishment","Restaurant","Surrendered","4","","NULL","Non-Smoking","","NULL","2/1/2002","2/1/2002","2/1/2002","12/31/2002","127 E Broad St","Falls Church","22046","NULL","NULL"
"EHD - Mount Rogers","138-CLOSED-Fee-Hotel-Grayson Inn & Suites","Grayson Inn & Suites-Continental Breakfast-CLOSED","SHUT-8PJPTH","Food Establishment","Hotel Continental Breakfast","Surrendered","2","","NULL","Smoke Free","","NULL","1/1/2012","1/1/2011","1/1/2012","12/31/2012","155 Rainbow Circle Drive Dr.   ","Independence","24348","NULL","NULL"
"EHD - Fairfax","Cafe Italia II","Cafe Italia II","MVVE-5CDSXZ","Food Establishment","Restaurant","Surrendered","4","","NULL","Non-Smoking","","NULL","2/1/2002","2/1/2002","2/1/2002","12/31/2005","10515 Main St","Fairfax","22030","NULL","NULL"
"EHD - Fairfax","Vinnie’s Restaurant","Vinnie's Restaurant","SSOI-6CSL8V","Food Establishment","Full Service Restaurant","Surrendered","3","","NULL","Smoke Free","","4","5/27/2005","7/27/2005","8/2/2005","12/31/2011","10515 Main St","Fairfax","22030","NULL","NULL"
"EHD - Richmond","Friends Associates for Children","Friends Associates for Children","HMES-8PAKP5","Food Establishment","Child Care Food Service","Permitted","4","NO","NO","Smoke Free","None","3","12/6/2011","11/18/2011","1/10/2023","12/31/2023","1004 Saint John St","Richmond","23220","NULL","NULL"
"EHD - Richmond","Friends Associates for Children","Friends Associates for Children","AGML-784JUV","Food Establishment","Child Care Food Service","Surrendered","4","","NULL","Smoke Free","None","NULL","1/1/2002","1/1/2002","1/1/2011","12/31/2011","1004 Saint John St","Richmond","23220","NULL","NULL"
"EHD - Central Shenandoah","Jon Boyz BBQ Shack(CLOSED)","Dave's Smokin Pig","KRON-58NRD7","Food Establishment","Carry Out Food Service Only","Surrendered","2","","NULL","Smoke Free","","NULL","10/16/2003","11/1/2003","11/1/2011","10/31/2012","NULL","NULL","NULL","NULL","NULL"
"EHD - Central Shenandoah","Jon Boyz BBQ Shack(CLOSED)","Jon Boyz BBQ Shack","PKIE-8ZBPDL","Food Establishment","Carry Out Food Service Only","Surrendered","2","","NULL","Smoke Free","","6","10/22/2012","12/1/2012","12/1/2016","11/30/2017","NULL","NULL","NULL","NULL","NULL"
"EHD - Richmond","Yannas Cafe","Yannas Cafe","#REF!","Food Establishment","Fast Food Restaurant","Business Closed","3","NO","NO","Smoke Free","Grease Trap (Interior)","4","12/6/2017","1/29/2018","1/1/2019","12/31/2019","1215-A East Main Street","Richmond","23219","NULL","NULL"
"EHD - Mount Rogers","Crossings Market, Closed","Crossings Market","DSIS-5EKKF2","Food Establishment","Restaurant","Surrendered","4","","NULL","","","NULL","11/12/2002","1/1/2002","10/1/2004","12/31/2004","144 Bonham Road","Bristol","24201","NULL","NULL"
"EHD - Richmond","Olio Mobile","Olio Mobile","HMES-ABUHGY","Food Establishment","Mobile Food Unit","Surrendered","","","NULL","Exempt","Other","NULL","7/14/2016","NULL","NULL","6/30/2017","10 East Franklin Street #100","Richmond","23219","NULL","NULL"
"EHD - Richmond","Perch RVA","Perch RVA","#REF!","Food Establishment","Full Service Restaurant","Business Closed","3","NO","NO","Smoke Free","Grease Trap (Interior)","4","4/11/2018","9/13/2018","1/13/2022","9/30/2022","2918  West Broad Street","Richmond","23230","NULL","NULL"
"EHD - Richmond","Kismet Modern Indian","Kismet Modern Indian","#REF!","Food Establishment","","Permitted","3","NO","NO","Smoke Free","Grease Trap (interior)","4","11/14/2022","12/13/2022","12/13/2022","12/31/2023","2918  West Broad Street","Richmond","23230","NULL","NULL"
"EHD - Richmond","Bank","Bank","HMES-6Q5NV9","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Smoke Free","Grease Trap (Exterior)","NULL","5/7/2006","5/25/2006","7/1/2011","6/30/2012","1005 East Main ST","Richmond","23227","NULL","NULL"
"EHD - Alleghany-Roanoke","2012 Rorer Ave SW","N-Side Restaurant","WAMN-5E5GSZ","Food Establishment","Restaurant","Surrendered","2","","NULL","","","NULL","9/1/1994","9/1/1994","12/1/2001","11/30/2002","2012 Rorer Ave SW","Roanoke","24016","NULL","NULL"
"EHD - Richmond","Paper Moon Gentlemens Club","Paper Moon Gentlemens Club","SYOG-58G2T5","Food Establishment","Fast Food Restaurant","Business Closed","2","NO","NO","Smoke Free","Grease Trap (Interior)","6","1/1/2002","1/1/2002","7/1/2019","6/30/2020","3300 Norfolk Street","Richmond","23230","NULL","NULL"
"EHD - Fairfax","P & P Restaurant","P & P Restaurant","MVVE-5CDUFJ","Food Establishment","Restaurant","Surrendered","4","","NULL","Non-Smoking","","NULL","2/1/2002","2/1/2002","1/1/2003","1/31/2006","445 Washington St S","Falls Church","22046","NULL","NULL"
"EHD - Pittsylvania-Danville","St. Paul Outreach Center","St. Paul Outreach Center","RSHS-99PPMA","Food Establishment","Summer Food Service Program Kitchen","Business Closed","2","NO","NO","Smoke Free","None","6","6/19/2013","NULL","6/19/2013","6/19/2014","745 Mill Creek Rd.","Chatham","","NULL","NULL"
"EHD - Pittsylvania-Danville","St. Paul Outreach Center","St. Paul Outreach Center","RSHS-99PPRC","Food Establishment","Summer Food Service Program Feeding Site","Business Closed","2","NO","NO","Smoke Free","None","6","6/19/2013","NULL","NULL","NULL","745 Mill Creek Rd.","Chatham","","NULL","NULL"
"EHD - Richmond","Max’s on Broad","Max's on Broad","HMES-9CRHJM","Food Establishment","Full Service Restaurant","Permitted","3","NO","NO","Smoke Free","Grease Trap (Exterior)","4","10/3/2013","10/8/2013","11/10/2022","12/31/2023","305 Brook Rd","Richmond","23220","NULL","NULL"
"EHD - Richmond","Max’s on Broad","Max's on Broad","HMES-9C6J2S","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Smoke Free","Grease Trap (Exterior)","NULL","10/3/2013","10/8/2013","10/8/2013","12/31/2014","305 Brook Rd","Richmond","23220","NULL","NULL"
"EHD - Fairfax","Sweet Life Cafe","Sweet Life Cafe","GNAN-6QPFWU","Food Establishment","Full Service Restaurant","Surrendered","3","","NULL","Non-Smoking","","4","6/2/2006","6/5/2006","6/12/2006","12/31/2009","3950 Chain Bridge Road","Fairfax","22030","NULL","NULL"
"EHD - Prince William","ABI Azteca Grill","ABI Azteca Grill","AJOS-6VJPUJ","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Restricted","Grease Trap (Interior)","NULL","11/13/2006","11/22/2006","12/12/2008","11/22/2009","13760 Smoketown Plaza","Woodbridge","22192","NULL","NULL"
"EHD - Prince William","ABI Azteca Grill","ABI Azteca Grill","AJOS-6NYQ5M","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Smoke Free","","NULL","11/29/2004","4/18/2006","4/18/2006","2/10/2007","13760 Smoketown Plaza","Woodbridge","22192","NULL","NULL"
"EHD - Prince William","Fuddruckers","Fuddruckers","JSUZ-55ELTF","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Smoke Free","Grease Trap (Exterior)","NULL","9/16/2002","1/20/2004","1/26/2010","1/20/2011","14075 Shoppers Best Way","Woodbridge","22192","NULL","NULL"
"EHD - Prince William","McDonalds","McDonalds","AJOS-9EAQPL","Food Establishment","Fast Food Restaurant","Surrendered","1","","NULL","Smoke Free","Grease Trap (Exterior)","12","1/17/2013","11/22/2013","12/1/2016","11/30/2017","14075 Shoppers Best Way","Woodbridge","22192","NULL","NULL"
"EHD - Prince William","McDonalds","McDonalds","AJOS-AGFQNK","Food Establishment","Fast Food Restaurant","Permitted","2","NO","NO","Smoke Free","Grease Trap (interior)","","12/8/2016","12/13/2016","1/1/2020","12/31/2023","14075 Shoppers Best Way","Woodbridge","22192","NULL","NULL"
"EHD - Peninsula","Swing Kingz","Ranger Rick's","JBER-5FTKUW","Food Establishment","Fast Food Restaurant","Surrendered","2","","NULL","Non-Smoking","","NULL","11/7/2003","11/1/2003","11/3/2006","10/31/2008","301 Lightfoot Road","Williamsburg","23188","NULL","NULL"
"EHD - Peninsula","Swing Kingz","Swing Kingz","KCAR-8ZZMB6","Food Establishment","Fast Food Restaurant","Surrendered","2","NO","NO","Smoke Free","Grease Trap (interior)","6","11/13/2012","10/17/2016","11/1/2017","10/31/2018","301 Lightfoot Road","Williamsburg","23188","NULL","NULL"
"EHD - Richmond","Savor","Savor","HMES-7DPPMB","Food Establishment","Full Service Restaurant","Surrendered","3","","NULL","Smoke Free","Grease Trap (Interior)","NULL","11/15/2007","4/14/2008","4/1/2010","3/31/2011","201 West 7th Street","Richmond","23219","NULL","NULL"
"EHD - Mount Rogers","198-CLOSED-Fee-Food-Ciro’s Pizza of Fort Chiswell","Ciro's Pizza of Fort Chiswell","MFEL-5CBR3D","Food Establishment","Restaurant","Surrendered","","","NULL","","","NULL","6/2/1999","6/1/1999","1/1/2002","12/31/2002","Route 1, 406","Max Meadows","24360","NULL","NULL"
"EHD - Fairfax","Epicure","Epicure","SAFY-9EHSGL","Food Establishment","Full Service Restaurant","Permitted","2","","NULL","Smoke Free","Grease Trap (Interior)","6","12/18/2013","1/9/2014","1/9/2014","12/31/2019","11104 Lee Highway","Fairfax","22030","NULL","NULL"
"EHD - Richmond","Quanstar","Quanstar","HMES-855RNZ","Food Establishment","Mobile Food Unit","Surrendered","2","","NULL","Outdoor smoking area","None","NULL","5/4/2010","NULL","NULL","NULL","2825 Nine Mile Road","Richmond","23223","NULL","NULL"
"EHD - Richmond","Moore Deli on Wheel","Moore Deli on Wheel","AGML-5KKKSW","Food Establishment","Mobile Food Unit","Surrendered","3","","NULL","Non-Smoking","","NULL","3/11/2003","3/12/2003","1/31/2008","12/31/2008","2825 Nine Mile Road","Richmond","23223","NULL","NULL"
"EHD - Richmond","Black Tie Social Club","Black Tie SSC","SYOG-58G2R4","Food Establishment","Other Food Service","Surrendered","2","","NULL","Smoke Free","Grease Trap (Interior)","6","1/1/2002","1/1/2002","10/1/2015","9/30/2016","2825 Nine Mile Road","Richmond","23223","NULL","NULL"
"EHD - Fairfax","Mama’s Italian Restaurant","Mama's Italian Restaurant","MVVE-5CDU5A","Food Establishment","Restaurant","Surrendered","4","","NULL","Non-Smoking","","NULL","2/1/2001","2/1/2001","2/1/2001","1/31/2002","9715 Fairfax Boulevard","Fairfax","22031","NULL","NULL"
"EHD - Fairfax","Mama’s Italian Restaurant","Mama's Italian Restaurant","MVVE-5CE3DV","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Non-Smoking","","3","1/1/2002","1/1/2002","1/1/2003","12/31/2005","9715 Fairfax Boulevard","Fairfax","22031","NULL","NULL"
"EHD - Fairfax","Mythos Restaurant","Mythos Restaurant","GNAN-6VCP6M","Food Establishment","Full Service Restaurant","Surrendered","3","","NULL","Non-Smoking","","NULL","11/8/2006","11/30/2006","12/1/2006","12/31/2007","9715 Fairfax Boulevard","Fairfax","22031","NULL","NULL"
"EHD - Mount Rogers","138-CLOSED-Fee-Food-Mt. Rogers Community Center","Mt. Rogers Community Center","MFEL-76LSVQ","Food Establishment","Other Food Service","Surrendered","1","","NULL","Smoke Free","","NULL","8/29/2007","1/1/2007","1/1/2008","1/31/2008","16309 Highlands Pkwy.","Whitetop","24292","NULL","NULL"
